year,season,time,total_pedestrian,to_manhattan,to_brooklyn,weather,event
2019,Spring,05:00:00 PM,1883,983,900,clear day,
2019,Winter,10:00:00 AM,618,333,285,cloudy,
2019,Spring,07:00:00 AM,254,99,155,clear day,
2019,Spring,04:00:00 PM,2191,969,1222,clear day,
2019,Summer,11:00:00 PM,8,5,3,cloudy,
2019,Spring,09:00:00 AM,202,117,85,rain,Mother's Day
2019,Fall,02:00:00 AM,0,0,0,clear night,
2019,Spring,01:00:00 AM,5,5,0,rain,
2019,Spring,10:00:00 PM,46,42,4,clear night,
2019,Fall,02:00:00 AM,0,0,0,clear night,
2019,Summer,05:00:00 PM,2124,1048,1076,partly cloudy day,
2019,Winter,09:00:00 AM,334,175,159,clear day,
2019,Winter,05:00:00 PM,58,55,3,clear night,
2019,Spring,04:00:00 AM,0,0,0,clear night,
2019,Spring,06:00:00 AM,40,19,21,snow,
2019,Winter,08:00:00 PM,10,7,3,clear night,
2019,Fall,12:00:00 PM,1968,842,1126,clear day,
2019,Winter,02:00:00 PM,987,421,566,clear day,
2019,Spring,07:00:00 PM,932,461,471,cloudy,
2019,Spring,09:00:00 AM,306,158,148,clear day,
2019,Spring,07:00:00 PM,457,195,262,partly cloudy day,
2019,Summer,05:00:00 PM,1686,931,755,clear day,
2019,Summer,11:00:00 PM,3,2,1,clear night,
2019,Fall,04:00:00 AM,0,0,0,partly cloudy night,
2019,Spring,04:00:00 PM,1811,868,943,clear day,
2019,Winter,05:00:00 AM,4,1,3,partly cloudy night,
2019,Summer,07:00:00 AM,282,127,155,partly cloudy day,
2019,Fall,10:00:00 PM,12,4,8,partly cloudy night,
2019,Fall,06:00:00 AM,84,50,34,clear night,
2019,Summer,12:00:00 AM,13,11,2,partly cloudy night,
2019,Spring,02:00:00 AM,1,0,1,cloudy,
2019,Winter,09:00:00 PM,2,1,1,clear night,
2019,Winter,06:00:00 AM,18,17,1,partly cloudy night,
2019,Winter,05:00:00 PM,1129,490,639,partly cloudy day,Valentine's Day
2019,Summer,09:00:00 AM,256,141,115,rain,
2019,Fall,09:00:00 PM,8,6,2,rain,
2019,Spring,07:00:00 AM,244,103,141,partly cloudy day,Easter Monday
2019,Fall,09:00:00 AM,585,296,289,clear day,
2019,Spring,08:00:00 AM,179,60,119,clear day,
2019,Spring,12:00:00 PM,2242,949,1293,cloudy,Easter Monday
2019,Spring,10:00:00 PM,3,2,1,cloudy,
2019,Summer,10:00:00 PM,44,31,13,clear night,
2019,Summer,09:00:00 AM,664,415,249,clear day,
2019,Summer,01:00:00 PM,2765,1174,1591,partly cloudy day,
2019,Winter,10:00:00 AM,893,415,478,cloudy,
2019,Summer,04:00:00 PM,2072,996,1076,partly cloudy day,
2019,Fall,11:00:00 AM,2363,1190,1173,clear day,
2019,Fall,11:00:00 PM,0,0,0,clear night,
2019,Fall,08:00:00 AM,384,167,217,partly cloudy day,
